Section,Criteria,Topic1,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOption,Description
Digital Environments - Networks,7.3,Data Transmission,The structure of a typical packet includes:,"Header, payload, trailer","Sender, receiver, checksum","Bits, frames, segments","Router, switch, hub",a,"Header, payload, trailer"
Digital Environments - Networks,7.3,Data Transmission,Packets that are too large are usually:,Dropped,Fragmented,Corrupted,Stored,b,Fragmented
Digital Environments - Networks,7.3,Data Transmission,Packet loss negatively impacts:,Video streaming quality,Mouse sensitivity,Screen brightness,File size,a,Video streaming quality
Digital Environments - Networks,7.3,Data Transmission,One role of the header is to:,Check for errors,Provide addressing information,Transport the payload,Compress data,b,Provide addressing information
Digital Environments - Networks,7.3,Data Transmission,Which of the following best defines packet switching-,Continuous dedicated connection,Data sent as independent packets,Data stored before forwarding,Data encoded using frequency changes,b,Data sent as independent packets
Digital Environments - Networks,7.3,Data Transmission,"If many packets are dropped during transmission, this is likely due to:",Low CPU usage,High network congestion,Strong connection,Correct CRC checks,b,High network congestion
Digital Environments - Networks,7.3,Data Transmission,What is the main purpose of HTTP-,Transfer web pages,Send emails,Assign IP addresses,Resolve domain names,a,Transfer web pages
Digital Environments - Networks,7.3,Data Transmission,What does bandwidth measure in a network-,Amount of data lost,Maximum data transfer rate,Delay in data transfer,Number of connected devices,b,Maximum data transfer rate
Digital Environments - Networks,7.3,Data Transmission,Latency refers to:,The time delay before data starts transferring,The maximum data speed,The number of errors in packets,The size of a network,a,The time delay before data starts transferring
Digital Environments - Networks,7.3,Data Transmission,High bandwidth allows:,More data to be transmitted at once,Lower ping,Less congestion always,Longer delays,a,More data to be transmitted at once
Digital Environments - Networks,7.3,Data Transmission,High latency typically leads to:,Faster downloads,Slower response times,Higher throughput,Improved performance,b,Slower response times
Digital Environments - Networks,7.3,Data Transmission,Which activity is most affected by latency-,Video streaming,Email downloading,Real-time gaming,File copying,c,Real-time gaming
Digital Environments - Networks,7.3,Data Transmission,Which activity is most affected by bandwidth-,Web browsing,Video streaming quality,Keyboard response time,Mouse latency,b,Video streaming quality
Digital Environments - Networks,7.3,Data Transmission,A network with low bandwidth and low latency will:,Transfer small data quickly,Transfer large files instantly,Experience high packet loss,Prevent device overload,a,Transfer small data quickly
Digital Environments - Networks,7.3,Data Transmission,Latency is typically measured in:,Mbps,GHz,Milliseconds,Gigabytes,c,Milliseconds
Digital Environments - Networks,7.3,Data Transmission,Bandwidth is typically measured in:,Milliseconds,Kilograms,Mbps or Gbps,Degrees Celsius,c,Mbps or Gbps
Digital Environments - Networks,7.3,Data Transmission,High latency and low bandwidth combined usually result in:,Excellent performance,Smooth streaming,Slow and unresponsive networks,Instant loading,c,Slow and unresponsive networks
Digital Environments - Networks,7.3,Network Devices,Which device forwards data packets between different networks-,Switch,Router,Hub,Repeater,b,Routers forward packets between different IP networks.
Digital Environments - Networks,7.3,Network Devices,A switch operates mainly at which OSI layer-,Layer 2,Layer 3,Layer 7,Layer 1,a,Switches operate at OSI Layer 2 (Data Link).
Digital Environments - Networks,7.3,Network Devices,"Which device typically stores user accounts, files, and authentication services-",Router,Server,Firewall,Client,b,"Servers host user accounts, files, and authentication."
Digital Environments - Networks,7.3,Network Devices,The Internet backbone is best described as:,Home broadband networks,The central high-speed infrastructure of the internet,Cellular towers,LAN switches,b,It’s the high-speed core infrastructure of the internet.
Digital Environments - Networks,7.3,Network Models,Which model uses a central server to manage resources-,Client-server,Peer-to-peer,Mesh,Thin client,a,Client-server centralises resource control on a server.
Digital Environments - Networks,7.3,Network Models,Which model is easiest and cheapest to set up for a small number of users-,Client-server,Thin client,Peer-to-peer,WAN,c,Peer-to-peer is simplest and cheapest for small groups.
Digital Environments - Networks,7.3,Network Models,A thin client mainly relies on:,Local processing power,Cloud services,A powerful central server,Peer devices,c,Thin clients depend on a central server for processing.
Digital Environments - Networks,7.3,Network Models,Which is a drawback of a peer-to-peer network-,No central point of failure,Harder to manage and secure,Requires a server,Requires high bandwidth,b,P2P is harder to manage and secure without central control.
Digital Environments - Networks,7.3,Network Models,Which model provides the strongest centralised security-,LAN,Thin client,Peer-to-peer,Client-server,d,Client-server enables strong centralised policies and auth.
Digital Environments - Networks,7.3,OSI,Which OSI layer is responsible for physically transmitting bits across media-,Data Link,Physical,Network,Transport,b,The Physical layer transmits raw bits over the medium.
Digital Environments - Networks,7.3,OSI,Which OSI layer assigns IP addresses and handles routing-,Session,Data Link,Network,Application,c,The Network layer handles IP addressing and routing.
Digital Environments - Networks,7.3,OSI,Encryption and decryption occur at which layer-,Application,Presentation,Session,Transport,b,Presentation layer handles data representation and encryption.
Digital Environments - Networks,7.3,OSI,TCP and UDP operate at which OSI layer-,Transport,Network,Session,Data Link,a,TCP and UDP are Transport-layer protocols.
Digital Environments - Networks,7.3,OSI,The session layer is responsible for:,Routing,Establishing and managing connections,Physical transmission,Compression,b,The Session layer establishes and manages sessions.
Digital Environments - Networks,7.3,OSI,HTTP and FTP work at which OSI layer-,Presentation,Network,Application,Transport,c,HTTP and FTP are Application-layer protocols.
Digital Environments - Networks,7.3,OSI,Which OSI layer is responsible for end-user network services such as email and web browsing-,Application,Presentation,Session,Transport,a,Application
Digital Environments - Networks,7.3,OSI,"Which OSI layer handles data encryption, compression, and translation-",Transport,Presentation,Network,Data Link,b,Presentation
Digital Environments - Networks,7.3,OSI,"Which OSI layer establishes, manages, and terminates communication sessions-",Session,Network,Application,Physical,a,Session
Digital Environments - Networks,7.3,OSI,Which OSI layer handles logical addressing and routing-,Network,Data Link,Transport,Session,a,Network
Digital Environments - Networks,7.3,OSI,MAC addressing operates at which OSI layer-,Data Link,Network,Physical,Transport,a,Data Link
Digital Environments - Networks,7.3,OSI,Which OSI layer transmits raw bits over physical media-,Physical,Network,Application,Presentation,a,Physical
Digital Environments - Networks,7.3,OSI,At which OSI layer do switches primarily operate-,Data Link,Transport,Network,Session,a,Data Link
Digital Environments - Networks,7.3,OSI,At which OSI layer do routers operate-,Network,Data Link,Transport,Physical,a,Network
Digital Environments - Networks,7.3,OSI,Which OSI layer is responsible for reliable or unreliable delivery of data segments-,Transport,Network,Session,Data Link,a,Transport
Digital Environments - Networks,7.3,OSI,Which OSI layer packages data into frames-,Data Link,Transport,Network,Presentation,a,Data Link
Digital Environments - Networks,7.3,OSI,Which OSI layer converts frames into bits for transmission-,Physical,Transport,Network,Session,a,Physical
Digital Environments - Networks,7.3,Protocols,Which protocol transfers web pages over the internet-,FTP,SMTP,HTTP,POP,c,HTTP is the protocol for transferring web pages.
Digital Environments - Networks,7.3,Protocols,HTTPS is more secure than HTTP because it uses:,UDP,Encryption,DNS,DHCP,b,HTTPS adds TLS encryption over HTTP.
Digital Environments - Networks,7.3,Protocols,Which protocol is used to send email from a client to a mail server-,SMTP,POP,IMAP,FTP,a,SMTP is used to send mail from clients to servers.
Digital Environments - Networks,7.3,Protocols,Which protocol downloads email from a mail server and removes it-,IMAP,SMTP,POP,FTP,c,POP retrieves and typically deletes email from the server.
Digital Environments - Networks,7.3,Protocols,Which routing protocol is a distance-vector protocol-,OSPF,RIP,DHCP,DNS,b,RIP is a distance-vector routing protocol.
Digital Environments - Networks,7.3,Protocols,Which routing protocol uses link-state routing-,RIP,OSPF,POP,HTTPS,b,OSPF is a link-state routing protocol.
Digital Environments - Networks,7.3,Protocols,Which protocol is used to assign IP addresses automatically-,DNS,DHCP,FTP,IMAP,b,DHCP dynamically assigns IP addresses to hosts.
Digital Environments - Networks,7.3,Protocols,Which protocol resolves domain names to IP addresses-,DNS,DHCP,FTP,SMTP,a,DNS resolves domain names to IP addresses.
Digital Environments - Networks,7.3,Protocols,SFTP is more secure than FTP because it:,Uses UDP,Encrypts data,Is faster,Uses DNS,b,Encrypts data
Digital Environments - Networks,7.3,Protocols,HTTPS differs from HTTP by providing:,Faster loading,Encryption/security,Routing updates,Email delivery,b,Encryption/security
Digital Environments - Networks,7.3,Protocols,Which protocol is commonly used for secure web browsing-,HTTP,FTP,HTTPS,DHCP,c,HTTPS
Digital Environments - Networks,7.3,Protocols,What port does HTTP typically use-,80,25,110,443,a,80
Digital Environments - Networks,7.3,Protocols,What port does HTTPS typically use-,110,143,443,53,c,443
Digital Environments - Networks,7.3,Protocols,Which mail protocol is used to send email-,IMAP,POP,SMTP,FTP,c,SMTP
Digital Environments - Networks,7.3,Protocols,SMTP is primarily responsible for:,Receiving emails,Sending emails,Routing data,Streaming media,b,Sending emails
Digital Environments - Networks,7.3,Protocols,Which protocol downloads email and removes it from the server-,IMAP,POP,SMTP,DNS,b,POP
Digital Environments - Networks,7.3,Protocols,IMAP differs from POP by allowing users to:,Delete all emails,Read emails directly on the server,Send emails securely,Change IP addresses,b,Read emails directly on the server
Digital Environments - Networks,7.3,Protocols,Which protocol syncs email across multiple devices-,SMTP,POP,IMAP,RIP,c,IMAP
Digital Environments - Networks,7.3,Protocols,Which protocol is considered a distance-vector routing protocol-,OSPF,DNS,RIP,SFTP,c,RIP
Digital Environments - Networks,7.3,Protocols,RIP determines best paths based on:,Latency,Hop count,Bandwidth,Signal strength,b,Hop count
Digital Environments - Networks,7.3,Protocols,Which routing protocol uses link-state advertisements-,RIP,OSPF,DHCP,SMTP,b,OSPF
Digital Environments - Networks,7.3,Protocols,OSPF is best suited for:,Small networks,Large enterprise networks,Home networks only,Email filtering,b,Large enterprise networks
Digital Environments - Networks,7.3,Protocols,Which protocol assigns IP addresses automatically-,DNS,DHCP,FTP,IMAP,b,DHCP
Digital Environments - Networks,7.3,Protocols,DNS is responsible for:,Encrypting files,Resolving domain names to IPs,Sending web traffic,Assigning MAC addresses,b,Resolving domain names to IPs
Digital Environments - Networks,7.3,Protocols,Which protocol transfers files between computers-,FTP,SMTP,DNS,IMAP,a,FTP
Digital Environments - Networks,7.3,Protocols,What is the secure version of FTP-,SFTP,HTTP,DNS,OSPF,a,SFTP
Digital Environments - Networks,7.3,Protocols,SFTP improves security by using:,UDP,SSH encryption,MAC filtering,Routing tables,b,SSH encryption
Digital Environments - Networks,7.3,Protocols,FTP typically uses which ports-,20 and 21,53 and 67,80 and 110,25 and 443,a,20 and 21
Digital Environments - Networks,7.3,Protocols,DHCP assigns which type of information-,Email settings,IP configuration,MAC addresses,Web cookies,b,IP configuration
Digital Environments - Networks,7.3,Protocols,DNS commonly uses which port-,25,53,443,143,b,53
Digital Environments - Networks,7.3,Protocols,SMTP uses which port by default-,80,25,161,53,b,25
Digital Environments - Networks,7.3,Protocols,IMAP typically uses which port-,143,110,53,25,a,143
Digital Environments - Networks,7.3,Protocols,POP typically uses which port-,110,443,20,53,a,110
Digital Environments - Networks,7.3,Protocols,Which protocol is NOT used for email-,SMTP,IMAP,POP,OSPF,d,OSPF
Digital Environments - Networks,7.3,Protocols,Which routing protocol converges faster-,RIP,OSPF,POP,FTP,b,OSPF
Digital Environments - Networks,7.3,Protocols,Which protocol ensures secure file transfer using SSH-,SFTP,FTP,IMAP,HTTP,a,SFTP
Digital Environments - Networks,7.3,Protocols,Which protocol maps domain names such as google.com to IPs-,DNS,DHCP,FTP,SMTP,a,DNS
Digital Environments - Networks,7.3,Protocols,DHCP stands for:,Dynamic Host Configuration Protocol,Digital Hardware Control Program,Domain Host Communication Path,Data Handling Control Process,a,Dynamic Host Configuration Protocol
Digital Environments - Networks,7.3,Protocols,DNS stands for:,Domain Naming Service,Domain Name System,Digital Node Selector,Dynamic Network Service,b,Domain Name System
Digital Environments - Networks,7.3,Protocols,Which protocol supports directory-style browsing of remote files-,FTP,SMTP,DNS,POP,a,FTP
Digital Environments - Networks,7.3,Protocols,Which routing protocol forms neighbor relationships and uses cost metrics-,OSPF,RIP,DNS,FTP,a,OSPF
Digital Environments - Networks,7.3,Protocols,HTTPS uses which technology for encryption-,TLS/SSL,CRC,SSH tunneling,MD5 hashing,a,TLS/SSL
Digital Environments - Networks,7.3,Protocols,Which protocol is used during device boot to obtain an IP address-,DNS,DHCP,POP,IMAP,b,DHCP
Digital Environments - Networks,7.3,Protocols,Which protocol breaks web communication into requests and responses-,HTTP,SMTP,RIP,DHCP,a,HTTP
Digital Environments - Networks,7.3,Protocols,Which protocol securely manages and transfers website logins-,HTTPS,FTP,POP,DNS,a,HTTPS
Digital Environments - Networks,7.3,Protocols,Which email protocol allows folder organization on the server-,POP,IMAP,FTP,SMTP,b,IMAP
Digital Environments - Networks,7.3,Protocols,Which routing protocol uses hop-by-hop metrics-,RIP,OSPF,DHCP,DNS,a,RIP
Digital Environments - Networks,7.3,Protocols,Which protocol transfers files without encryption-,FTP,SFTP,HTTPS,IMAP,a,FTP
Digital Environments - Networks,7.3,TCP/IP,"In the TCP/IP model, IP operates at which layer-",Transport,Application,Internet,Network Interface,c,IP resides in the Internet layer of TCP/IP.
Digital Environments - Networks,7.3,TCP/IP,Which layer of the TCP/IP model handles end-to-end communication-,Internet,Transport,Application,Network Access,b,The Transport layer provides end-to-end delivery.
Digital Environments - Networks,7.3,TCP/IP,The TCP/IP Application layer corresponds to which three OSI layers-,"1, 2, 3","4, 5, 6","5, 6, 7","3, 4, 5",c,TCP/IP Application maps to OSI layers 5–7.
Digital Environments - Networks,7.3,TCP/IP,Which protocol belongs to the TCP/IP Transport layer-,TCP,ARP,DHCP,DNS,a,TCP is a Transport-layer protocol.
Digital Environments - Networks,7.3,TCP/IP,TCP and UDP operate at which OSI layer-,Transport,Network,Data Link,Presentation,a,Transport
Digital Environments - Networks,7.3,TCP/IP,"Which TCP/IP layer combines OSI layers 5, 6, and 7-",Application,Transport,Internet,Network Access,a,Application
Digital Environments - Networks,7.3,TCP/IP,The TCP/IP Internet layer corresponds to which OSI layer-,Network,Data Link,Transport,Application,a,Network
Digital Environments - Networks,7.3,TCP/IP,Which TCP/IP layer is responsible for end-to-end communication and flow control-,Transport,Internet,Application,Network Access,a,Transport
Digital Environments - Networks,7.3,TCP/IP,The Network Access layer of TCP/IP corresponds to which OSI layers-,Data Link + Physical,Network + Data Link,Transport + Session,Presentation + Application,a,Data Link + Physical
Digital Environments - Networks,7.3,TCP/IP,Which protocol operates at the TCP/IP Internet layer-,IP,TCP,FTP,SMTP,a,IP
Digital Environments - Networks,7.3,TCP/IP,Which protocol operates at the TCP/IP Transport layer-,TCP,DNS,DHCP,ARP,a,TCP
Digital Environments - Networks,7.3,TCP/IP,"HTTP, FTP, and DNS operate at which TCP/IP layer-",Application,Transport,Internet,Network Access,a,Application
Digital Environments - Networks,7.3,TCP/IP,Which TCP/IP layer handles physical addressing and defining how data is transmitted over media-,Network Access,Internet,Transport,Application,a,Network Access
Digital Environments - Networks,7.3,Types of networks,Which network type typically covers the smallest geographical area-,LAN,PAN,WAN,MAN,b,PAN covers the smallest area (personal/near-body range).
Digital Environments - Networks,7.3,Types of networks,A LAN usually covers which type of area-,A single person’s workspace,A city,A building or campus,Multiple countries,c,A LAN typically spans a building or campus.
Digital Environments - Networks,7.3,Types of networks,Which network type spans across countries or continents-,PAN,MAN,WAN,LAN,c,"WAN interconnects over large, cross-country distances."
Digital Environments - Networks,7.3,Types of networks,Bluetooth is most commonly used in which type of network-,MAN,WAN,PAN,LAN,c,Bluetooth is a short-range PAN technology.
Digital Environments - Networks,7.3,Types of networks,Fibre optic cable is an example of which type of connection media-,Wireless,Copper-based,Guided/wired,Virtual,c,Fibre is a guided/wired medium using light in optical fibre.
Digital Environments - Networks,7.3,Types of networks,Wi-Fi is an example of what type of network media-,Wired,Wireless,Fibre,Satellite,b,Wi-Fi is a wireless radio medium.
Digital Environments - Networks,7.3,Types of networks,A MAN typically connects multiple:,Devices on a desk,Buildings in a single city,Countries,Rooms in a home,b,MAN links multiple buildings across a city.
Digital Environments,7.4,Virtual Environments,What is a Virtual Machine (VM)-,A physical server,Software emulation of a computer system,A type of router,A storage device,b,Software emulation of a computer system
Digital Environments,7.4,Virtual Environments,"A virtual client (e.g., virtual PC) typically runs:",Directly on hardware without an OS,Inside a VM with a guest OS,Only on mobile devices,"Only in the cloud, never on-prem",b,Inside a VM with a guest OS
Digital Environments,7.4,Virtual Environments,What does a virtual switch do-,Provides wireless access,Connects VMs at Layer 2 within a host,Encrypts VM disks,Allocates CPU cores to VMs,b,Connects VMs at Layer 2 within a host
Digital Environments,7.4,Virtual Environments,A virtual router primarily:,Provides DHCP only,Routes traffic between virtual networks/VLANs,Runs guest operating systems,Stores VM snapshots,b,Routes traffic between virtual networks/VLANs
Digital Environments,7.4,Virtual Environments,A VM “server” usually refers to:,A VM that provides network services to clients,A bare-metal hypervisor,A storage array,A physical desktop,a,A VM that provides network services to clients
Digital Environments,7.4,Virtual Environments,A Type 1 hypervisor runs:,On top of a host OS,Directly on the host hardware,Inside each VM,Only in public cloud,b,Directly on the host hardware
Digital Environments,7.4,Virtual Environments,A Type 2 hypervisor runs:,Directly on hardware,On top of a host operating system,Inside firmware only,"Only on servers, never laptops",b,On top of a host operating system
Digital Environments,7.4,Virtual Environments,Which is typically more efficient for production data centers-,Type 2 hypervisor,Type 1 hypervisor,Container engine,Virtual switch,b,Type 1 hypervisor
Digital Environments,7.4,Virtual Environments,Which example best fits a Type 2 hypervisor-,VMware ESXi,Microsoft Hyper-V Server (bare-metal),Oracle VirtualBox,KVM on bare metal,c,Oracle VirtualBox
Digital Environments,7.4,Virtual Environments,Which is a characteristic of Type 1 hypervisors-,Higher overhead from host OS,Tighter hardware access and lower latency,Require desktop UI to run,Limited to single VM,b,Tighter hardware access and lower latency
Digital Environments,7.4,Virtual Environments,“Isolation” in virtualization means:,No backups are required,Each VM is logically separated from others,VMs share the same process space,All VMs must run the same OS,b,Each VM is logically separated from others
Digital Environments,7.4,Virtual Environments,“Portability” in virtualization is best described as:,Moving VMs between hosts with minimal changes,Running only on the original host,Needing hardware recompile,Tying VMs to single NIC,a,Moving VMs between hosts with minimal changes
Digital Environments,7.4,Virtual Environments,“Managed execution” refers to:,Hypervisor schedules CPU/memory/IO for VMs,Users manually pin every process,VMs run without resource limits,Only storage is managed,a,Hypervisor schedules CPU/memory/IO for VMs
Digital Environments,7.4,Virtual Environments,“Aggregation” commonly means:,Combining multiple physical resources for VMs,Splitting one VM into many pieces,Only bonding of NICs,Joining two VMs into one OS,a,Combining multiple physical resources for VMs
Digital Environments,7.4,Virtual Environments,“Sharing” in virtual environments typically indicates:,All VMs share root password,Multiple VMs share pooled hardware resources,Files are publicly available on internet,Snapshots are sent to users,b,Multiple VMs share pooled hardware resources
Digital Environments,7.4,Virtual Environments,“Emulation” is:,Running software compiled for different hardware/ISA,Only accelerating graphics,Deduplicating storage blocks,Encrypting VM traffic,a,Running software compiled for different hardware/ISA
Digital Environments,7.4,Virtual Environments,Increased security in virtualization often comes from:,Running all apps as admin,Segmentation and snapshots/rollback,Disabling firewalls,Sharing credentials,b,Segmentation and snapshots/rollback
Digital Environments,7.4,Virtual Environments,Which feature helps prevent faults in one VM affecting others-,Aggregation,Isolation,Sharing,Emulation,b,Isolation
Digital Environments,7.4,Virtual Environments,A key cost benefit of virtualization at scale is:,More rack space required,Higher power consumption,Server consolidation reducing hardware,Mandatory licensing increases,c,Server consolidation reducing hardware
Digital Environments,7.4,Virtual Environments,Virtualization improves disaster recovery mainly via:,Hardcoding IPs,Faster VM restores from images/snapshots,Disabling backups,Manual OS reinstalls,b,Faster VM restores from images/snapshots
Digital Environments,7.4,Virtual Environments,A benefit for testing environments is:,Hard to clone systems,Easy to snapshot and revert states,Requires new hardware per test,Tests must be run in production,b,Easy to snapshot and revert states
Digital Environments,7.4,Virtual Environments,Education and training benefit because:,Students require dedicated hardware each,VMs allow safe labs and resets,Only experts can use VMs,VMs forbid experimentation,b,VMs allow safe labs and resets
Digital Environments,7.4,Virtual Environments,Resilience is improved by:,Single host deployment,Live migration and HA clusters,Turning off monitoring,Static allocation only,b,Live migration and HA clusters
Digital Environments,7.4,Virtual Environments,Virtualization can lower carbon footprint by:,Running idle servers continuously,"Consolidating workloads to fewer, efficient hosts",Disabling power management,Avoiding resource scheduling,b,"Consolidating workloads to fewer, efficient hosts"
Digital Environments,7.4,Virtual Environments,Why is management often easier in virtualized environments-,Each VM needs its own rack,"Unified tools for provisioning, monitoring, templates",Manual CLI only,No automation possible,b,"Unified tools for provisioning, monitoring, templates"
Digital Environments,7.4,Virtual Environments,A drawback of virtualization is extra hardware load due to:,Hypervisor overhead,No CPU usage,Unlimited free memory,Direct hardware execution with zero layers,a,Hypervisor overhead
Digital Environments,7.4,Virtual Environments,Slower execution time can occur because:,Context switches and abstraction layers,Direct silicon access,Overclocking by default,Always faster disk IO,a,Context switches and abstraction layers
Digital Environments,7.4,Virtual Environments,Virtualized benchmarks may mislead due to:,False representation of performance,Perfect parity with bare metal,Guaranteed higher IOPS,No contention effects,a,False representation of performance
Digital Environments,7.4,Virtual Environments,Which workload may suffer more from virtualization overhead-,Light web server,CPU/GPU-intensive real-time trading,Static file hosting,DNS caching,b,CPU/GPU-intensive real-time trading
Digital Environments,7.4,Virtual Environments,Over-consolidation risk primarily leads to:,Better performance,Resource contention and throttling,No change,Lower utilization,b,Resource contention and throttling
Digital Environments,7.4,Virtual Environments,What is a VM snapshot-,Full physical backup only,Point-in-time state to revert/clone,Live migration process,A hardware RAID function,b,Point-in-time state to revert/clone
Digital Environments,7.4,Virtual Environments,Live migration allows:,Moving a running VM between hosts with minimal downtime,Converting VM to container automatically,Changing guest OS architecture on the fly,Deleting VM disks safely,a,Moving a running VM between hosts with minimal downtime
Digital Environments,7.4,Virtual Environments,Which resource is commonly overcommitted in virtualization-,CPU and memory (with limits),Power supplies,Motherboard slots,KVM cabling,a,CPU and memory (with limits)
Digital Environments,7.4,Virtual Environments,Which is TRUE about virtual switches-,They operate like OSI Layer 2 switches,They route at Layer 3 only,They require physical cabling,They can’t do VLANs,a,They operate like OSI Layer 2 switches
Digital Environments,7.4,Virtual Environments,Which statement about Type 2 hypervisors is TRUE-,They rely on a host OS for hardware access,They require RAID controllers,They cannot run on laptops,They always outperform Type 1,a,They rely on a host OS for hardware access
Digital Environments,7.4,Virtual Environments,Which feature directly supports isolation between networks on a host-,VLANs on virtual switches,USB passthrough,CPU pinning,Screen sharing,a,VLANs on virtual switches
Digital Environments,7.4,Virtual Environments,A sign of false performance representation can be:,Consistent results across hosts,Benchmarks inside a lightly loaded host,Ignoring noisy-neighbor effects,Transparent resource limits,c,Ignoring noisy-neighbor effects
Digital Environments,7.4,Virtual Environments,Increased security is improved when:,All VMs share admin accounts,Role-based access and separate networks per tier,Disable patching in guests,Expose management interfaces publicly,b,Role-based access and separate networks per tier
Digital Environments,7.4,Virtual Environments,Aggregation of storage typically enables:,Lower capacity,Shared datastores for many VMs,Single-disk per VM only,No redundancy,b,Shared datastores for many VMs
Digital Environments,7.4,Virtual Environments,Emulation vs. virtualization: which is TRUE-,Emulation can run different CPU architectures; virtualization usually requires same ISA,Both require identical hardware,Virtualization always slower than emulation,Emulation provides hardware-level isolation only,a,Emulation can run different CPU architectures; virtualization usually requires same ISA
Digital Environments,7.4,Virtual Environments,Managed execution can help with:,Resource quotas and scheduling fairness,Random allocation of CPU,Unlimited memory for all VMs,Disabling IO controls,a,Resource quotas and scheduling fairness
Digital Environments,7.4,Virtual Environments,Which factor most increases extra hardware load-,Running many idle VMs,Overcommitting CPU/RAM beyond safe thresholds,Disabling snapshots,Using thin provisioning,b,Overcommitting CPU/RAM beyond safe thresholds
Digital Environments,7.4,Virtual Environments,A common portability benefit for dev teams is:,Inconsistent environments,Reproducible VM images that run on different hosts,Needing new hardware for every student,Manual rebuild every time,b,Reproducible VM images that run on different hosts
Digital Environments,7.5,Cloud Computing,What is a public cloud-,Cloud used by a single organisation only,Cloud services offered over the internet to multiple customers,A cloud located in a private datacentre,A cloud requiring no authentication,b,Cloud services offered over the internet to multiple customers
Digital Environments,7.5,Cloud Computing,What is a private cloud-,Cloud services shared publicly,Cloud infrastructure dedicated to a single organisation,A cloud rented from a third party,A personal online storage account,b,Cloud infrastructure dedicated to a single organisation
Digital Environments,7.5,Cloud Computing,Which is a key benefit of cloud portability-,Ability to move applications/data across environments easily,Automatic encryption of all files,Faster CPU speeds,Guaranteed unlimited bandwidth,a,Ability to move applications/data across environments easily
Digital Environments,7.5,Cloud Computing,Elasticity in cloud computing refers to:,Fixed resource allocation,Automatic scaling of resources up or down,Manual installation of hardware,Reduced network speed,b,Automatic scaling of resources up or down
Digital Environments,7.5,Cloud Computing,Which benefit relates to fewer storage limitations-,Cloud can expand storage capacity as needed,Cloud restricts data uploads,Cloud only stores local files,Cloud prevents file sharing,a,Cloud can expand storage capacity as needed
Digital Environments,7.5,Cloud Computing,Why is cloud often considered cost-effective-,Requires expensive hardware purchases,Uses pay-as-you-go pricing models,Charges users for unused resources,Requires full-time on-site engineers,b,Uses pay-as-you-go pricing models
