Section,Criteria,Topic1,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOption,Description
Problem Solving,1.1.1,Algorithms,Algorithmic thinking is useful when:,A solution needs clear steps,A task is random,Logic is discouraged,Data is unavailable,a,A solution needs clear steps
Problem Solving,1.1.1,Algorithms,Computational thinking improves problem solving by:,Adding unnecessary complexity,Introducing structure and logic,Avoiding decisions,Removing planning,b,Introducing structure and logic
Problem Solving,1.1.1,Algorithms,A benefit of decomposition is:,Bigger problems become harder,Problems become easier to manage,Everything becomes random,Solutions become unclear,b,Problems become easier to manage
Problem Solving,1.1.4,Algorithms,What is decomposition in computational thinking-,Joining problems together,Breaking a problem into smaller parts,Ignoring detail,Random guessing,b,Breaking a problem into smaller parts
Problem Solving,1.1.4,Algorithms,A benefit of decomposition is:,Problems become harder,Each part becomes easier to understand,Everything becomes random,More errors occur,b,Each part becomes easier to understand
Problem Solving,1.1.4,Algorithms,Pattern recognition involves:,Spotting similarities and trends,Deleting repeated data,Ignoring relationships,Changing patterns,a,Spotting similarities and trends
Problem Solving,1.1.4,Algorithms,Pattern recognition helps by:,Increasing repetition,Allowing reuse of solutions,Removing structure,Avoiding logic,b,Allowing reuse of solutions
Problem Solving,1.1.4,Algorithms,Abstraction means:,Adding all data,Focusing only on important information,Random ordering,Storing everything,b,Focusing only on important information
Problem Solving,1.1.4,Algorithms,A drawback of abstraction is:,Reduced clarity,Too much detail included,Important details may be removed,Better structure,c,Important details may be removed
Problem Solving,1.1.4,Algorithms,Algorithmic design is used to:,Make random choices,Create step-by-step instructions,Confuse problems,Ignore processes,b,Create step-by-step instructions
Problem Solving,1.1.4,Algorithms,Algorithms must be:,Ambiguous,Clear and unambiguous,Random,Infinite,b,Clear and unambiguous
Problem Solving,1.1.4,Algorithms,Which component is best for simplifying complex problems-,Pattern recognition,Decomposition,Algorithmic design,Encryption,b,Decomposition
Problem Solving,1.1.4,Algorithms,Which component reduces duplication in solutions-,Abstraction,Pattern recognition,Guesswork,Iteration,b,Pattern recognition
Problem Solving,1.1.4,Algorithms,Abstraction helps programmers by:,Showing all details,Removing unnecessary details,Increasing complexity,Mixing steps,b,Removing unnecessary details
Problem Solving,1.1.4,Algorithms,Which best describes algorithmic thinking-,Choosing randomly,Designing logical sequences of steps,Avoiding structure,Using only visuals,b,Designing logical sequences of steps
Problem Solving,1.1.4,Algorithms,Decomposition is useful when:,Problems are too small,Problems are complex,Everything is obvious,The answer is known already,b,Problems are complex
Problem Solving,1.1.4,Algorithms,Pattern recognition often leads to:,New errors,Generalised solutions,Harder tasks,Slower programs,b,Generalised solutions
Problem Solving,1.1.4,Algorithms,Abstraction is essential when:,There is too much irrelevant information,Data is already simple,Nothing needs solving,All details matter,a,There is too much irrelevant information
Problem Solving,1.1.4,Algorithms,Algorithmic design outputs:,A completed program,A clear step-by-step plan,A random result,Only hardware,b,A clear step-by-step plan
Problem Solving,1.1.4,Algorithms,Which component helps create reusable solutions-,Guesswork,Pattern recognition,Overthinking,Repetition,b,Pattern recognition
Problem Solving,1.1.4,Algorithms,Which component directly supports automation-,Abstraction,Decomposition,Algorithmic design,Pattern recognition,c,Algorithmic design
Problem Solving,1.1.4,Algorithms,Complex systems benefit from:,Decomposition into modules,Ignoring structure,Removing order,Randomising processes,a,Decomposition into modules
Problem Solving,1.1.4,Algorithms,The four components of computational thinking include:,"Sorting, searching, comparing, calculating","Decomposition, pattern recognition, abstraction, algorithmic design","Memory, CPU, storage, input","Logic, maths, science, creativity",b,"Decomposition, pattern recognition, abstraction, algorithmic design"
